GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,500789,2278799,google.com,com,1,1,500835,2279017
2,2,facebook.com,com,488222,2385684,facebook.com,com,2,2,487958,2385001
3,3,youtube.com,com,440323,1974459,youtube.com,com,3,3,440007,1973395
4,4,instagram.com,com,400343,1836040,instagram.com,com,4,4,399953,1834881
5,5,twitter.com,com,397992,1692122,twitter.com,com,5,5,397747,1691746
6,6,linkedin.com,com,365235,1488237,linkedin.com,com,6,6,365035,1487054
7,7,microsoft.com,com,279413,748987,microsoft.com,com,7,7,279733,749397
8,8,googletagmanager.com,com,276012,1013364,googletagmanager.com,com,8,8,275797,1011791
9,9,apple.com,com,269458,835440,apple.com,com,9,9,269483,834114
10,10,github.com,com,245799,618475,github.com,com,10,10,245999,619145
11,1,wikipedia.org,org,245591,804781,wikipedia.org,org,11,1,245526,804557
12,2,wordpress.org,org,230354,854623,wordpress.org,org,12,2,230551,855003
13,1,youtu.be,be,218881,696494,youtu.be,be,13,1,218776,695815
14,11,play.google.com,com,206143,582441,play.google.com,com,14,11,206100,581793
15,3,en.wikipedia.org,org,204599,602731,en.wikipedia.org,org,15,3,204602,602547
16,12,pinterest.com,com,202988,769944,pinterest.com,com,16,12,202846,770068
17,1,goo.gl,gl,201044,697816,goo.gl,gl,17,1,201036,697233
18,13,maps.google.com,com,194756,720282,maps.google.com,com,18,13,194704,720193
19,14,vimeo.com,com,178611,580224,vimeo.com,com,19,14,178637,580133
20,15,docs.google.com,com,172830,497219,docs.google.com,com,20,15,172935,496891
21,16,x.com,com,171408,548119,x.com,com,21,16,171188,547576
22,17,apps.apple.com,com,168408,434422,apps.apple.com,com,22,17,168452,433471
23,18,whatsapp.com,com,164290,599138,whatsapp.com,com,23,18,164278,598757
24,19,tiktok.com,com,159485,529257,tiktok.com,com,24,19,159174,528486
25,1,bit.ly,ly,157067,447331,bit.ly,ly,25,1,157193,447129
26,20,amazon.com,com,154084,431957,amazon.com,com,26,20,154189,431559
27,21,adobe.com,com,152334,400559,adobe.com,com,27,21,152475,400266
28,22,wordpress.com,com,151711,437467,wordpress.com,com,28,22,151726,436845
29,1,wa.me,me,150140,559416,wa.me,me,29,1,150075,559136
30,4,nginx.org,org,150027,331843,nginx.org,org,30,4,149948,331461
31,23,nginx.com,com,147435,324743,nginx.com,com,31,23,147336,324339
32,24,policies.google.com,com,146675,471222,policies.google.com,com,32,24,146725,471169
33,25,drive.google.com,com,146395,403757,drive.google.com,com,33,25,146458,403270
34,5,mozilla.org,org,144986,392411,mozilla.org,org,34,5,145149,392488
35,26,plus.google.com,com,144776,457249,plus.google.com,com,35,26,144731,456710
36,27,api.whatsapp.com,com,144027,518302,api.whatsapp.com,com,36,27,144032,517850
37,28,player.vimeo.com,com,142510,434752,player.vimeo.com,com,37,28,142586,434599
38,29,blogspot.com,com,142016,401448,blogspot.com,com,38,29,142233,401673
39,1,europa.eu,eu,135659,425314,europa.eu,eu,39,1,135573,424468
40,6,apache.org,org,134149,265949,apache.org,org,40,6,134120,265719
41,2,t.me,me,128871,443268,t.me,me,41,2,129167,443609
42,2,maps.app.goo.gl,gl,126118,404629,maps.app.goo.gl,gl,42,2,126087,403941
43,1,github.io,io,122381,263495,github.io,io,43,1,122420,263004
44,30,itunes.apple.com,com,121547,283253,itunes.apple.com,com,44,30,121437,282511
45,31,yahoo.com,com,115329,282517,yahoo.com,com,46,32,115344,281826
46,32,gravatar.com,com,115253,354049,gravatar.com,com,45,31,115437,354280
47,33,support.microsoft.com,com,113976,293048,support.microsoft.com,com,47,33,114092,292866
48,34,reddit.com,com,113071,328484,reddit.com,com,48,34,113104,327864
49,1,miit.gov.cn,cn,112085,714249,miit.gov.cn,cn,49,1,112168,714352
50,35,qq.com,com,111947,524622,qq.com,com,50,35,112010,524759
51,36,tumblr.com,com,111395,330806,tumblr.com,com,51,36,111516,330879
52,1,forms.gle,gle,111273,289805,forms.gle,gle,52,1,111291,288857
53,1,nih.gov,gov,110353,285886,nih.gov,gov,53,1,110477,285161
54,37,macromedia.com,com,109907,263851,macromedia.com,com,54,37,109843,263377
55,2,beian.miit.gov.cn,cn,109230,684235,beian.miit.gov.cn,cn,55,2,109286,684315
56,38,spotify.com,com,109093,311585,spotify.com,com,56,38,108987,310921
57,39,amazonaws.com,com,105727,245802,amazonaws.com,com,57,39,105686,245258
58,40,flickr.com,com,101893,263795,flickr.com,com,58,40,101972,262856
59,41,sites.google.com,com,101052,242473,sites.google.com,com,59,41,101101,241870
60,7,archive.org,org,100682,250631,archive.org,org,60,7,100655,249840
61,42,open.spotify.com,com,99828,282936,open.spotify.com,com,61,42,99781,282297
62,43,medium.com,com,98403,248249,medium.com,com,62,43,98545,247873
63,2,ec.europa.eu,eu,98226,299872,ec.europa.eu,eu,63,2,98334,299489
64,44,office.com,com,97624,237322,office.com,com,64,44,97575,236524
65,45,nytimes.com,com,97346,249440,nytimes.com,com,65,45,97345,248793
66,8,w3.org,org,95623,196753,w3.org,org,66,8,95663,196771
67,46,baidu.com,com,94594,354237,baidu.com,com,67,46,94751,354616
68,9,creativecommons.org,org,92895,205013,creativecommons.org,org,68,9,92933,204515
69,47,soundcloud.com,com,92761,251237,soundcloud.com,com,69,47,92789,250576
70,48,forbes.com,com,90731,229038,forbes.com,com,70,48,90767,228150
71,49,live.com,com,88134,213456,live.com,com,71,49,87397,210369
72,2,www.ncbi.nlm.nih.gov,gov,86995,212688,www.ncbi.nlm.nih.gov,gov,72,2,87101,212085
73,1,zoom.us,us,86512,196363,zoom.us,us,73,1,86499,195805
74,1,sourceforge.net,net,85819,161057,sourceforge.net,net,74,1,85943,160946
75,10,web.archive.org,org,84745,202248,web.archive.org,org,75,10,84717,201613
76,50,godaddy.com,com,83937,208437,godaddy.com,com,76,50,84248,208961
77,51,paypal.com,com,83301,223745,paypal.com,com,77,51,83428,223470
78,52,theguardian.com,com,83249,208972,theguardian.com,com,78,52,83202,207994
79,53,sciencedirect.com,com,82149,190678,sciencedirect.com,com,79,53,82239,190013
80,2,cpanel.net,net,81481,285064,cpanel.net,net,80,2,81546,285316
81,11,doi.org,org,80508,176140,doi.org,org,81,11,80520,175585
82,1,t.co,co,80321,220869,t.co,co,82,1,80316,219741
83,54,googleblog.com,com,80145,203550,googleblog.com,com,84,55,80095,202428
84,55,cloudflare.com,com,79981,233252,cloudflare.com,com,83,54,80197,233756
85,56,wixsite.com,com,79752,195168,wixsite.com,com,85,56,79706,194308
86,57,cnn.com,com,79355,192431,cnn.com,com,87,58,79333,191390
87,58,oracle.com,com,79322,150346,oracle.com,com,86,57,79413,150067
88,59,dropbox.com,com,77862,176748,dropbox.com,com,88,59,77877,176159
89,60,vk.com,com,77798,259448,vk.com,com,89,60,77777,258727
90,1,who.int,int,77477,179438,who.int,int,90,1,77533,178570
91,61,dropcatch.com,com,77143,201161,dropcatch.com,com,91,61,77203,201128
92,62,shopify.com,com,76635,192716,shopify.com,com,92,62,76684,192117
93,63,opera.com,com,76131,188829,opera.com,com,93,63,76172,188477
94,64,tinyurl.com,com,75902,183379,tinyurl.com,com,95,65,75804,182612
95,3,launchpad.net,net,74400,129207,launchpad.net,net,96,3,74370,129092
96,65,accounts.google.com,com,74228,153414,accounts.google.com,com,94,64,75905,159251
97,66,bbc.com,com,74008,180640,bbc.com,com,97,66,73958,179585
98,67,youtube-nocookie.com,com,73784,177375,youtube-nocookie.com,com,98,67,73791,177145
99,1,bbc.co.uk,uk,73278,176784,bbc.co.uk,uk,99,1,73252,175931
100,68,l.facebook.com,com,72654,181517,l.facebook.com,com,100,68,72741,180650
101,4,php.net,net,72349,134920,php.net,net,101,4,72427,135057
102,69,issuu.com,com,71911,165484,issuu.com,com,103,69,71891,164943
